#{"t_start": 1766261298.6384313, "env_id": "None"}
r,l,t
3.5335298,2,1.437947
3.7890646,2,1.438837
82.924484,2,1.439457
3.756267,2,1.440385
-1.5823836,2,1.441211
73.091415,5,1.488413
115.50784,5,1.488916
6.289729,5,1.489319
13.257276,5,1.489762
13.911134,5,1.490199
6.8739614,7,1.534107
9.126465,7,1.534583
120.68587,7,1.534883
5.415076,7,1.53515
2.388958,7,1.535396
14.855087,7,1.595026
18.232231,7,1.595421
121.23946,7,1.595628
13.1196,7,1.595783
-159.62163,7,1.59592
27.053467,21,1.639873
40.337597,21,1.640524
39.11202,21,1.640787
106.480484,21,1.641008
-494.82538,21,1.641221
27.635817,6,1.649574
132.64374,6,1.650036
10.175209,6,1.650322
14.657232,6,1.650605
5.5974774,6,1.650834
83.05431,24,1.666304
53.89888,24,1.666701
65.752884,24,1.667023
63.187244,24,1.667251
40.437637,24,1.667467
51.13122,33,1.737614
55.240852,33,1.738063
50.74086,33,1.738508
158.45224,33,1.738696
-206.59465,33,1.738904
73.156204,43,1.809945
218.4137,43,1.810236
83.99102,43,1.810496
71.650215,43,1.810761
-1374.8939,43,1.81109
26.91845,20,1.820626
73.22363,20,1.821023
117.516495,20,1.821458
29.145172,20,1.821741
-21.455328,20,1.821966
7.3952284,8,1.886614
8.673396,8,1.886946
6.6022787,8,1.887304
97.856445,8,1.887803
-42.358707,8,1.888012
71.43684,37,1.951828
57.699432,37,1.952125
59.751102,37,1.952375
216.90305,37,1.952576
-1181.7478,37,1.952773
49.103046,27,1.962243
54.288795,27,1.962587
51.033195,27,1.96289
162.98445,27,1.963139
-118.40777,27,1.963365
1.1141769,2,1.981772
2.0594103,2,1.982182
80.72131,2,1.982388
2.1006875,2,1.982732
-10.1,2,1.982959
90.61425,12,2.001727
12.060143,12,2.002017
11.29558,12,2.002233
9.271525,12,2.002553
-12.489683,12,2.002786
168.57562,64,2.002986
204.40092,64,2.003247
366.6314,64,2.003481
144.1929,64,2.003713
-157.32967,64,2.003942
181.17287,79,2.123979
289.9922,79,2.124444
242.18776,79,2.124769
331.91788,79,2.125036
-401.09872,79,2.125266
141.15237,24,2.184248
44.567654,24,2.184545
62.187504,24,2.18471
46.01787,24,2.184846
-276.82224,24,2.18497
61.625996,24,2.321023
74.8569,24,2.321808
132.28107,24,2.322345
125.60672,24,2.322607
-179.87799,24,2.32287
46.93846,19,2.342301
153.30743,19,2.342766
36.24282,19,2.342995
40.93925,19,2.343184
-5.8207498,19,2.343367
6.249486,5,2.36905
44.005096,5,2.370619
7.628287,5,2.370836
110.97065,5,2.370991
-12.956795,5,2.371099
297.32208,107,2.40746
229.72983,107,2.407709
259.2824,107,2.40792
335.48355,107,2.408226
-843.5258,107,2.408422
23.772058,25,3.74057
32.251713,25,3.741276
28.234524,25,3.741841
75.41451,25,3.742459
-138.56961,25,3.743011
127.85538,32,3.826746
197.30191,32,3.827004
53.124504,32,3.827172
80.369446,32,3.827307
-15.85989,32,3.827433
15.056603,11,3.836198
125.2776,11,3.836919
18.18965,11,3.837139
13.218075,11,3.837407
-17.804325,11,3.837686
6.49174,4,3.867779
12.07521,4,3.868164
89.19641,4,3.868478
11.061599,4,3.868766
-13.209874,4,3.86908
252.66214,103,3.876943
394.34427,103,3.877188
302.90616,103,3.877415
352.84467,103,3.877604
60.37118,103,3.877801
66.16789,35,3.887516
68.17296,35,3.887764
69.821594,35,3.887981
209.55898,35,3.888162
-194.73517,35,3.888363
361.99533,126,3.888551
271.18347,126,3.888738
286.25128,126,3.888922
376.9538,126,3.889105
-1440.3451,126,3.889287
20.942581,4,3.911727
98.36534,4,3.912112
25.595474,4,3.912594
4.9415684,4,3.912909
20.08905,4,3.913295
43.79895,4,3.944576
102.64103,4,3.944872
4.8552094,4,3.945156
2.270387,4,3.945354
-57.496857,4,3.945498
29.702936,15,3.953101
28.30053,15,3.953342
31.512802,15,3.953514
191.95099,15,3.953668
-93.82665,15,3.953798
126.794525,11,3.975746
23.67489,11,3.976024
18.66732,11,3.976236
31.101946,11,3.976433
-261.6947,11,3.976676
17.199852,12,3.986181
116.76949,12,3.986411
6.806982,12,3.986583
10.843606,12,3.986733
-4.649296,12,3.986872
219.10933,102,4.003852
203.53415,102,4.004259
233.56662,102,4.004514
246.68408,102,4.004756
-215.35808,102,4.004962
14.845798,3,4.027097
4.1894193,3,4.027315
84.64995,3,4.027576
3.5475855,3,4.027795
-0.8636575,3,4.028
91.86246,27,4.156436
190.5145,27,4.156745
76.42028,27,4.156988
67.29923,27,4.157197
67.97288,27,4.157373
367.3662,126,4.225384
279.5876,126,4.225771
253.67183,126,4.226055
370.97147,126,4.226264
-1060.2856,126,4.22646
73.9961,28,4.360313
107.053604,28,4.36058
76.2928,28,4.360761
76.45242,28,4.360908
20.591133,28,4.361074
111.933395,63,4.425964
96.6748,63,4.426284
185.96942,63,4.426472
151.0342,63,4.42662
-2550.8276,63,4.426788
367.86996,154,4.426973
320.2661,154,4.427167
301.12338,154,4.427345
494.23587,154,4.427526
-809.83295,154,4.427761
119.35637,62,4.450425
153.01729,62,4.450727
178.28186,62,4.450905
108.19872,62,4.451056
-1120.2301,62,4.451185
29.896053,21,4.603945
112.845375,21,4.604228
29.702888,21,4.604464
29.867664,21,4.604604
-641.94507,21,4.604736
214.88467,80,4.619701
155.03552,80,4.619959
293.64902,80,4.620138
162.37967,80,4.620456
-1020.1131,80,4.620672
224.94997,87,4.629641
214.84627,87,4.629889
214.65475,87,4.630055
248.04613,87,4.630238
-1495.3523,87,4.630427
58.286568,41,6.104276
272.1761,41,6.104685
68.60346,41,6.10495
55.94356,41,6.105251
-661.6236,41,6.105527
68.046555,23,6.15351
88.49034,23,6.153863
70.1765,23,6.154166
250.01703,23,6.154379
-474.56168,23,6.15459
97.861855,76,6.161573
98.5254,76,6.161853
81.04085,76,6.162091
90.98221,76,6.1623
-1779.8546,76,6.162619
36.751804,28,6.213634
43.075466,28,6.21404
49.61296,28,6.214301
189.75269,28,6.214566
-569.3264,28,6.214979
62.566788,30,6.224533
68.09473,30,6.224746
148.79396,30,6.224942
69.309784,30,6.225105
-178.9938,30,6.225236
137.68382,40,6.410506
73.579,40,6.410743
252.59741,40,6.410954
98.975685,40,6.411122
-1199.9371,40,6.411305
56.62119,34,6.411483
229.00177,34,6.411623
73.455086,34,6.411774
53.086143,34,6.411902
-157.1051,34,6.412079
213.32425,88,6.47095
315.00427,88,6.471197
204.28029,88,6.471367
223.15584,88,6.471534
-3280.7532,88,6.471679
118.048416,39,6.520951
95.6252,39,6.521287
72.73229,39,6.521517
92.40507,39,6.521724
95.051636,39,6.521921
8.78812,6,6.568896
7.0476995,6,6.569178
10.435771,6,6.569375
101.66354,6,6.569561
-151.05376,6,6.569731
32.671417,2,6.587035
5.594822,2,6.587294
5.4397097,2,6.58747
87.99423,2,6.587606
-6.9445677,2,6.587734
144.666,24,6.612094
127.27846,24,6.61237
98.97259,24,6.612566
71.32813,24,6.612722
-107.74802,24,6.612911
134.06203,25,6.62178
67.5781,25,6.622006
154.90532,25,6.622261
52.79628,25,6.622517
-66.281586,25,6.622685
26.981491,3,6.638838
96.176094,3,6.639145
6.648083,3,6.63944
3.512469,3,6.639646
-5.1838036,3,6.639923
143.71391,61,6.6487
135.02957,61,6.648948
142.05078,61,6.649158
152.8621,61,6.649314
-611.1891,61,6.649465
124.76923,22,6.657844
50.827785,22,6.65808
40.984394,22,6.65825
35.855297,22,6.658388
-521.16266,22,6.658571
18.535295,15,6.705798
115.59949,15,6.706062
23.739992,15,6.706268
23.216476,15,6.706453
-354.2522,15,6.706648
552.80237,195,6.746633
430.2956,195,6.746879
436.5777,195,6.747066
521.4918,195,6.747376
-1738.8455,195,6.747586
55.04938,20,6.816285
33.053104,20,6.816576
77.48464,20,6.816798
132.10043,20,6.817023
-456.10007,20,6.817219
132.5312,22,6.817407
71.728355,22,6.817592
63.341873,22,6.817777
52.457157,22,6.817936
-753.9297,22,6.818095
4.222203,2,6.833291
82.13863,2,6.833554
2.6695197,2,6.833771
3.8643951,2,6.833909
-6.7817774,2,6.834035
