#{"t_start": 1766236803.9227483, "env_id": "None"}
r,l,t
6.646124,3,1.453421
5.76088,3,1.455458
101.33249,3,1.45611
5.1774125,3,1.456694
2.8638687,3,1.457378
109.49383,4,1.485149
26.445152,4,1.486428
9.311865,4,1.487462
11.23596,4,1.488348
5.896611,4,1.489452
10.509805,6,1.597551
13.814791,6,1.597832
7.9460955,6,1.598188
115.60028,6,1.598458
3.505745,6,1.5987
107.17401,10,1.598933
23.235058,10,1.59916
15.055743,10,1.599376
22.302647,10,1.599621
0.5570817,10,1.599849
116.52112,11,1.608757
45.115154,11,1.610031
51.666874,11,1.610656
29.391485,11,1.611235
-294.11917,11,1.611541
18.41486,14,1.661873
108.737785,14,1.662527
65.62363,14,1.662862
30.879383,14,1.66314
-203.2148,14,1.663392
43.5882,26,1.746898
217.82237,26,1.747244
49.63984,26,1.747508
106.575325,26,1.74767
-292.6108,26,1.747812
18.654413,11,1.766744
26.445372,11,1.767201
129.90201,11,1.76747
20.148514,11,1.767775
-31.541462,11,1.768071
61.02138,11,1.855061
144.9971,11,1.858819
18.362814,11,1.859292
17.376354,11,1.859601
3.0591369,11,1.859822
94.22198,45,1.911263
92.86242,45,1.911697
104.80108,45,1.912182
130.70099,45,1.912343
-400.32733,45,1.912478
131.59396,38,1.936918
58.95302,38,1.939317
73.98784,38,1.939483
105.251686,38,1.93961
25.956963,38,1.939722
177.80867,52,1.969731
156.40996,52,1.970082
93.534966,52,1.97033
102.238594,52,1.970486
-304.30792,52,1.970646
10.775736,11,2.005624
138.08223,11,2.009198
15.866366,11,2.009716
15.983234,11,2.010083
-245.65225,11,2.010324
189.84457,49,2.03568
106.76799,49,2.039388
136.24936,49,2.039666
102.141754,49,2.039856
-75.819176,49,2.040027
2.6131692,2,2.06317
1.7653105,2,2.067323
85.96908,2,2.067662
3.7867413,2,2.067955
-10.1,2,2.06821
155.52097,12,2.1394
22.918243,12,2.143372
21.031519,12,2.143801
19.733347,12,2.144108
-74.941216,12,2.144388
162.64519,65,2.20713
276.11853,65,2.207466
206.14304,65,2.207661
165.11603,65,2.207803
-539.9262,65,2.207952
99.26447,43,2.255535
85.41773,43,2.25585
107.16773,43,2.256101
205.65735,43,2.256285
-652.93933,43,2.256452
267.0807,91,2.336657
204.03703,91,2.337236
238.01279,91,2.337568
257.61887,91,2.338045
-616.8036,91,2.338345
150.06314,51,2.442526
131.64958,51,2.443029
93.57893,51,2.443335
254.10626,51,2.443677
-441.2131,51,2.44389
15.598931,8,2.516271
10.258911,8,2.516681
45.794827,8,2.51697
15.122775,8,2.517253
130.3796,8,2.517455
231.92018,87,4.089566
220.88428,87,4.090277
327.97247,87,4.090946
208.73595,87,4.091547
-976.7303,87,4.092178
130.90152,60,4.102364
210.83028,60,4.107473
277.11917,60,4.107903
117.47984,60,4.108355
-352.51486,60,4.108645
138.96492,60,4.160491
173.59187,60,4.161049
222.00467,60,4.161686
150.41864,60,4.162238
-458.2161,60,4.162606
151.99075,84,4.238687
154.17415,84,4.239066
188.61479,84,4.239397
308.8148,84,4.239583
-418.96408,84,4.239848
318.61313,141,4.361472
390.25494,141,4.363451
314.21964,141,4.363753
318.98734,141,4.36397
-2695.2773,141,4.364347
209.79376,83,4.417996
163.19315,83,4.418396
269.3419,83,4.418722
184.74988,83,4.418972
-1652.9371,83,4.419216
131.87558,63,4.419426
224.66685,63,4.419626
123.33764,63,4.419798
232.79123,63,4.41994
-804.99207,63,4.420083
114.423874,10,4.505637
23.71965,10,4.506363
26.204977,10,4.506593
24.14065,10,4.506834
-78.576935,10,4.507009
247.7816,123,4.50729
340.37384,123,4.507545
241.62852,123,4.507745
243.40388,123,4.507917
-2403.3887,123,4.50813
196.94168,39,4.691254
75.027,39,4.691885
63.347137,39,4.692395
78.99158,39,4.692813
-246.02238,39,4.693135
246.90866,60,4.741728
140.62798,60,4.742067
176.31244,60,4.742325
203.01369,60,4.742546
129.09413,60,4.742753
112.50578,70,4.742954
131.82648,70,4.743152
65.52295,70,4.743398
166.66095,70,4.743644
-761.1785,70,4.743882
264.08688,77,4.753243
153.41037,77,4.758744
151.62656,77,4.759228
198.64334,77,4.759631
-1295.8837,77,4.75987
11.179128,8,4.821106
116.90613,8,4.821426
8.830287,8,4.821606
7.197106,8,4.821857
20.470573,8,4.822251
34.476704,25,4.913766
39.59605,25,4.915434
101.02969,25,4.91571
52.056347,25,4.915935
-126.256714,25,4.916196
258.47244,87,6.745207
135.6705,87,6.745924
197.56903,87,6.746462
167.65285,87,6.746932
-725.7982,87,6.747357
48.10051,43,6.76674
67.58325,43,6.76716
168.01656,43,6.767513
63.150707,43,6.76785
-1069.153,43,6.7682
1.9353669,2,6.787184
88.20166,2,6.787647
24.16711,2,6.788015
4.2020607,2,6.788708
-6.0894017,2,6.789127
18.385326,2,6.808101
86.95438,2,6.808473
