#{"t_start": 1766313706.034637, "env_id": "None"}
r,l,t
78.53244,2,2.436271
16.704082,2,2.439603
3.0527692,2,2.439899
6.448264,2,2.440115
-1.3699617,2,2.440313
10.00606,4,2.476677
10.293602,4,2.477033
107.604836,4,2.477296
8.219571,4,2.47759
2.6010427,4,2.477811
3.2871802,4,2.512597
8.146948,4,2.512987
5.5698195,4,2.513244
95.806114,4,2.513425
-20.84303,4,2.513592
142.20917,6,2.513756
10.496754,6,2.513918
33.248306,6,2.514079
14.801414,6,2.51424
-9.288602,6,2.514461
31.146263,10,2.577939
146.11578,10,2.578347
17.610111,10,2.578644
57.341206,10,2.578856
-220.85489,10,2.57905
34.759846,20,2.727792
143.9532,20,2.730086
77.86417,20,2.730366
43.717777,20,2.73058
-437.18744,20,2.730772
41.70574,27,2.834791
174.74109,27,2.835135
47.826485,27,2.835363
48.77335,27,2.835564
-260.5506,27,2.835799
50.87481,24,2.880777
53.725746,24,2.881141
47.5833,24,2.881383
54.89413,24,2.881577
-34.235573,24,2.881741
53.369102,30,2.969598
59.288307,30,2.969958
46.684128,30,2.970274
82.38744,30,2.970508
174.06575,30,2.970687
52.42613,33,2.985969
40.717358,33,2.986265
223.13017,33,2.986471
56.26048,33,2.986716
-529.9679,33,2.986925
87.87863,39,3.02212
130.55978,39,3.022452
73.94489,39,3.022721
86.15602,39,3.022968
350.3606,39,3.023152
32.514324,21,3.050785
46.77024,21,3.051072
41.127747,21,3.051286
181.50702,21,3.051564
-7.5478315,21,3.051813
112.069374,12,3.195963
14.929728,12,3.198651
19.076649,12,3.199037
18.186295,12,3.199434
-109.99719,12,3.199843
110.33314,4,3.275771
3.2570226,4,3.289779
2.4036431,4,3.300524
6.77806,4,3.301688
22.379385,4,3.302094
95.51577,32,3.520483
53.64384,32,3.520986
57.282032,32,3.521415
56.258522,32,3.521917
-93.05044,32,3.522352
22.778402,10,3.672429
126.761,10,3.672879
14.8581915,10,3.673183
17.99858,10,3.67344
-10.015511,10,3.673668
268.201,88,3.898135
238.01651,88,3.898626
313.70514,88,3.898941
