#{"t_start": 1766258973.9258404, "env_id": "None"}
r,l,t
17.4882,11,20.761341
141.81049,11,20.761616
31.445503,13,20.795462
114.50405,13,20.795891
28.729439,13,20.796184
43.744106,13,20.796456
-9.215782,13,20.796682
116.47027,15,20.809763
17.557188,15,20.810122
23.398642,15,20.810387
20.696447,15,20.810582
-183.45439,15,20.810825
128.91002,4,20.84697
10.587263,4,20.847418
10.181011,4,20.847752
45.678528,4,20.848038
-58.999348,4,20.848309
14.817408,9,20.928334
100.37194,9,20.928855
9.735788,9,20.929212
53.30385,9,20.929485
-79.560715,9,20.929749
173.62349,40,20.930027
53.14785,40,20.930521
95.407005,40,20.930866
213.37216,40,20.931183
-397.0856,40,20.931478
13.178703,19,20.999403
105.14839,19,21.00266
20.762878,19,21.003112
16.951468,19,21.003434
-231.84735,19,21.003664
135.44745,13,21.087588
27.668177,13,21.088011
25.534616,13,21.088402
24.514185,13,21.088624
-339.54416,13,21.088829
159.29016,31,21.105698
90.6785,31,21.108053
69.24833,31,21.108479
43.195465,31,21.108821
-221.84048,31,21.109184
102.79793,38,40.825196
64.776596,38,40.826258
80.01298,38,40.82705
77.38057,38,40.82772
-356.9781,38,40.8285
327.27344,138,41.039572
225.88821,138,41.040133
217.52187,138,41.040513
243.01889,138,41.040882
-1845.8634,138,41.041157
237.78906,74,41.075066
152.08224,74,41.075578
129.29565,74,41.075928
196.4702,74,41.076209
-1450.4392,74,41.076644
3.4860368,3,41.093306
6.8887777,3,41.093993
21.490337,3,41.094456
91.843735,3,41.094804
2.3833365,3,41.095148
6.134985,6,41.159647
98.09277,6,41.160033
9.290847,6,41.160257
7.49008,6,41.160458
1.6644268,6,41.160729
106.989075,6,41.227106
14.484159,6,41.227579
5.8435388,6,41.227915
11.0053005,6,41.228171
-9.205348,6,41.228408
163.0621,86,41.254209
219.78445,86,41.254627
192.09747,86,41.254934
423.06195,86,41.255298
-1766.8091,86,41.255658
125.301704,49,41.269078
218.52832,49,41.269421
96.86242,49,41.269825
111.30237,49,41.270139
-271.6222,49,41.270522
85.34154,48,41.270904
269.31097,48,41.271224
72.58571,48,41.271505
126.842445,48,41.271779
-585.58356,48,41.272068
62.682674,36,41.339553
97.392075,36,41.339999
78.388664,36,41.340297
66.567444,36,41.340652
-318.29028,36,41.340984
171.70619,70,41.365144
118.17305,70,41.365521
215.6258,70,41.365904
113.674164,70,41.366183
-276.30753,70,41.366542
48.803772,22,41.367
37.495018,22,41.367334
54.998333,22,41.367654
40.71211,22,41.367902
-285.81836,22,41.368173
70.45604,20,41.494238
199.96304,20,41.494724
75.80078,20,41.495117
45.702625,20,41.495449
-49.407177,20,41.495872
24.566448,17,41.584263
18.02347,17,41.584689
137.32632,17,41.585061
44.581917,17,41.585455
-28.979355,17,41.585756
39.33925,26,41.605
31.827467,26,41.605551
33.033985,26,41.606062
177.26443,26,41.606408
-79.91953,26,41.606735
37.113636,21,41.653573
45.61525,21,41.653974
38.55176,21,41.654339
120.41968,21,41.654701
-92.22308,21,41.655112
155.20084,8,41.72457
13.515845,8,41.725023
69.50283,8,41.725302
16.761448,8,41.725526
16.729454,8,41.725735
196.91928,128,42.229113
293.31067,128,42.229618
430.40256,128,42.230098
258.73468,128,42.230381
-1763.1793,128,42.230652
117.75819,46,42.270616
190.43314,46,42.271089
88.0004,46,42.271521
87.49061,46,42.271964
-334.7189,46,42.272407
329.20407,77,42.299698
273.6372,77,42.300246
196.4028,77,42.300644
220.61917,77,42.301008
-1014.2367,77,42.301371
60.66764,51,42.40868
72.45139,51,42.409117
131.24896,51,42.409434
55.7384,51,42.409837
-714.36694,51,42.410245
143.31033,21,63.472301
150.25128,21,63.472763
54.73587,21,63.473161
60.87569,21,63.473483
3.9820051,21,63.473801
159.89636,22,63.616454
51.319645,22,63.616995
30.396832,22,63.617432
116.5453,22,63.61789
8.027094,22,63.618243
32.028343,18,63.673292
22.068272,18,63.673796
140.50233,18,63.674141
33.752407,18,63.674414
-289.1142,18,63.674709
107.66814,5,63.691478
42.641773,5,63.692004
4.599969,5,63.692399
105.046394,5,63.692744
0.9919939,5,63.693091
415.5106,107,63.693442
322.6999,107,63.69371
228.32892,107,63.693989
250.04918,107,63.694276
-1893.492,107,63.694699
168.09882,87,63.73026
235.09149,87,63.730645
135.7307,87,63.730885
260.51678,87,63.731242
-1044.4102,87,63.731627
12.4029255,6,63.826989
10.78903,6,63.827567
77.32159,6,63.82797
94.046295,6,63.828238
-4.9320154,6,63.828465
15.201003,9,63.84547
45.70529,9,63.846314
16.854874,9,63.846593
101.69533,9,63.846827
-81.24515,9,63.847047
25.780148,10,63.847308
26.178005,10,63.847555
141.87263,10,63.847775
18.778473,10,63.847995
11.639284,10,63.848218
200.25708,50,64.000502
85.484276,50,64.000873
97.62828,50,64.001193
135.58997,50,64.001433
-1595.4022,50,64.001771
52.199356,19,64.094276
51.93063,19,64.095098
146.201,19,64.095497
41.948833,19,64.095865
-458.94296,19,64.096242
27.540186,21,64.126642
234.63287,21,64.127235
24.22453,21,64.127654
28.10205,21,64.128037
-32.796772,21,64.128404
246.42389,113,64.186954
279.879,113,64.187453
308.92706,113,64.187752
215.00618,113,64.188005
-2468.2483,113,64.188249
73.43,35,64.200439
54.54645,35,64.200914
72.10265,35,64.201261
230.67361,35,64.20158
-51.501537,35,64.201814
91.53405,47,64.220833
207.17665,47,64.22127
106.81683,47,64.221554
180.84737,47,64.221779
-82.91025,47,64.222126
27.831596,12,64.377653
117.69981,12,64.378177
24.850437,12,64.378577
26.837059,12,64.378928
37.55873,12,64.379257
42.166046,20,64.473807
38.85728,20,64.47435
47.12628,20,64.474686
116.73174,20,64.474973
27.557737,20,64.475423
37.86183,25,64.541694
140.3493,25,64.542259
28.085958,25,64.542748
49.924168,25,64.543225
-539.1829,25,64.54375
207.64186,22,64.688253
38.81723,22,64.688735
41.682808,22,64.689014
72.3867,22,64.689373
-180.7887,22,64.68967
16.222834,6,64.762821
16.72902,6,64.763379
114.71299,6,64.763762
13.996556,6,64.764038
-4.32571,6,64.764251
101.46149,55,64.76446
191.05872,55,64.764665
103.73961,55,64.76493
87.36728,55,64.765322
-771.1253,55,64.765694
12.572094,21,64.7661
38.467022,21,64.766489
37.34617,21,64.76689
214.85428,21,64.767319
-21.773003,21,64.767732
88.294426,2,64.797175
3.0275352,2,64.797903
3.1472607,2,64.798255
2.8798318,2,64.798644
-8.591798,2,64.799174
101.32593,8,64.883204
10.97173,8,64.883832
12.236828,8,64.884175
15.306309,8,64.884531
-78.78788,8,64.884846
218.70134,78,64.912498
166.13358,78,64.912992
184.099,78,64.913395
254.55342,78,64.913743
-794.46594,78,64.914068
480.90707,187,64.956917
354.7751,187,64.957686
404.5592,187,64.958138
439.64243,187,64.95862
-4160.8516,187,64.959117
20.836998,10,65.100102
40.760727,10,65.100922
32.865,10,65.101519
105.45093,10,65.101948
-17.50497,10,65.102417
152.82607,71,65.177147
146.58153,71,65.1779
127.75863,71,65.178467
141.738,71,65.179017
-321.95206,71,65.179344
33.459282,5,65.226295
65.70962,5,65.226798
24.62806,5,65.22717
9.344512,5,65.227417
141.8059,5,65.227649
10.122933,6,65.277594
15.217466,6,65.278044
108.984344,6,65.27845
14.29914,6,65.278964
-7.706221,6,65.279452
142.71175,54,65.38223
103.45968,54,65.382608
95.3133,54,65.383085
173.25351,54,65.383421
-1001.0915,54,65.383786
2.120823,2,65.413153
4.6816807,2,65.413589
22.137405,2,65.413901
84.67716,2,65.414135
-2.9142344,2,65.414338
126.5919,46,87.540543
125.3074,46,87.540934
222.53029,46,87.541294
122.99795,46,87.541782
378.19028,46,87.542085
186.95673,45,87.615448
81.48461,45,87.615853
94.9755,45,87.616118
93.00813,45,87.616388
-249.78955,45,87.616702
28.769966,12,87.708858
23.136301,12,87.709292
119.649704,12,87.709606
25.614233,12,87.709826
-407.07703,12,87.710039
342.48843,108,87.743922
210.28131,108,87.744289
262.9426,108,87.74458
189.93231,108,87.744911
-2032.4847,108,87.745254
125.783966,13,87.798351
27.29615,13,87.798789
31.898232,13,87.799427
28.544796,13,87.799842
-461.96753,13,87.800346
145.78073,55,87.997299
120.15064,55,87.997731
102.26648,55,87.998
179.16946,55,87.998267
-818.4559,55,87.998585
71.73277,28,88.093743
53.912994,28,88.09411
53.094135,28,88.094374
89.56311,28,88.094626
-9.628609,28,88.094824
14.4867115,88,88.095183
259.89816,88,88.095452
210.83818,88,88.095823
183.91359,88,88.096327
-1353.2817,88,88.096758
57.851837,31,88.199521
290.98438,31,88.199958
54.945225,31,88.200397
110.71642,31,88.200719
-492.62088,31,88.200966
94.16912,41,88.27418
163.0051,41,88.274535
84.65345,41,88.274918
69.85839,41,88.275288
-782.48584,41,88.275649
13.629087,6,88.276021
138.5339,6,88.276344
22.146336,6,88.276732
16.96064,6,88.277097
-1.675633,6,88.277363
147.33337,68,88.326011
137.46242,68,88.326435
263.72574,68,88.326769
209.7356,68,88.327048
-1074.1979,68,88.327291
303.97876,96,88.357972
149.63185,96,88.3586
232.84201,96,88.358952
204.84451,96,88.359305
-1139.525,96,88.359601
16.182758,7,88.444769
26.418865,7,88.445159
9.536367,7,88.445478
12.742218,7,88.44574
157.33922,7,88.445956
114.67194,38,88.477067
88.095764,38,88.477695
247.4614,38,88.478211
124.880104,38,88.478696
-422.43134,38,88.479169
57.060074,38,88.581189
145.75856,38,88.581562
59.214775,38,88.581813
46.648098,38,88.582032
-659.50415,38,88.582244
39.084923,26,88.625568
33.507053,26,88.626154
37.78084,26,88.62673
139.52115,26,88.627066
-704.9677,26,88.627414
141.8743,28,88.656489
49.54184,28,88.656931
66.29612,28,88.65724
72.492455,28,88.657531
-599.9819,28,88.657794
74.86529,39,88.962888
94.47952,39,88.963464
214.61807,39,88.963772
82.80116,39,88.964025
-304.89923,39,88.964378
269.23703,129,88.979648
349.54904,129,88.980105
261.13965,129,88.980495
191.88939,129,88.980768
-1905.9663,129,88.980992
50.155743,99,104.920392
246.55174,99,104.921012
219.10753,99,104.921356
177.3031,99,104.921629
-1007.70166,99,104.921886
91.68312,62,104.942024
145.562,62,104.942361
172.04097,62,104.942611
100.64485,62,104.942955
29.275414,62,104.943323
30.816467,31,104.943703
126.17603,31,104.944044
38.063587,31,104.944333
47.042454,31,104.94463
-1001.30524,31,104.944999
56.92488,32,104.972725
174.57507,32,104.973122
81.13298,32,104.973375
74.01731,32,104.973588
-533.4481,32,104.973797
6.8944016,6,105.025465
66.75052,6,105.025908
112.372925,6,105.02621
7.0073595,6,105.026477
-22.116396,6,105.02685
16.40102,10,105.139853
19.244598,10,105.140307
18.56966,10,105.140584
20.96883,10,105.14081
140.40181,10,105.141049
-14.544694,21,105.189046
43.94581,21,105.18948
29.08292,21,105.18976
26.803959,21,105.190112
189.51926,21,105.190381
-0.92941225,3,105.227349
108.19484,3,105.227839
5.0729284,3,105.228161
7.9082623,3,105.228412
-2.182146,3,105.228667
169.80167,95,105.394315
278.9737,95,105.394726
183.87074,95,105.395019
247.40529,95,105.395276
168.4289,95,105.3956
-16.308443,15,105.423108
20.214224,15,105.423594
114.96205,15,105.423976
30.795033,15,105.424317
-63.10285,15,105.424606
190.96324,123,105.473816
208.44463,123,105.474231
370.72827,123,105.474528
235.27605,123,105.474744
-3411.9377,123,105.475019
104.88368,49,105.56472
189.16383,49,105.565537
113.61893,49,105.566094
85.77924,49,105.566461
-288.8286,49,105.566825
14.4109745,13,105.721095
20.345318,13,105.721658
108.49395,13,105.722042
19.147575,13,105.722313
2.6478486,13,105.72268
299.70087,131,105.884446
318.34818,131,105.885722
351.7038,131,105.886275
75.844406,131,105.886787
-977.37115,131,105.887366
-30.286324,37,105.907921
75.05594,37,105.908495
176.05304,37,105.908902
51.51477,37,105.909253
-890.1103,37,105.909534
156.02351,76,105.949516
211.40701,76,105.950291
142.57602,76,105.950745
140.13776,76,105.951265
-1060.1802,76,105.951632
70.62215,18,105.981747
53.231735,18,105.982419
29.41601,18,105.982884
37.049988,18,105.98344
88.24659,18,105.984031
7.2875943,10,106.110197
20.851658,10,106.110707
11.016589,10,106.11111
12.04237,10,106.111452
147.67896,10,106.111716
177.37811,73,106.127997
188.27728,73,106.128376
126.53916,73,106.128656
154.77031,73,106.128881
87.91433,73,106.129096
20.091316,10,106.14617
12.715115,10,106.146623
136.44218,10,106.146971
59.69071,10,106.14726
-263.08344,10,106.147547
24.466131,13,106.300684
140.11365,13,106.301197
29.266552,13,106.301565
19.495174,13,106.301873
-128.93513,13,106.30229
120.41643,69,124.809387
233.082,69,124.809874
221.35362,69,124.810262
53.702095,69,124.810598
-1085.3058,69,124.810967
20.253166,16,124.894307
104.58229,16,124.894702
25.607363,16,124.895037
201.38034,16,124.89527
-47.509087,16,124.895625
83.158,44,124.909803
249.84091,44,124.910237
198.89017,44,124.910482
109.77122,44,124.910764
-612.8235,44,124.911252
64.554184,17,125.017946
103.72271,17,125.01847
27.822388,17,125.018816
6.3289022,17,125.019108
-16.906826,17,125.01945
34.465534,23,125.298301
118.33516,23,125.29888
39.71419,23,125.299326
16.800322,23,125.299746
-299.71567,23,125.300055
108.513596,71,125.397656
98.837456,71,125.398146
114.11952,71,125.398432
232.52673,71,125.398659
-708.11127,71,125.399018
666.9896,237,125.472419
493.03094,237,125.472831
586.3965,237,125.473138
232.6513,237,125.473439
-2656.2,237,125.473823
197.14792,80,125.536002
161.7063,80,125.536546
121.78359,80,125.53691
104.99028,80,125.537225
-841.58093,80,125.537484
97.29462,3,125.575839
4.1152143,3,125.576325
6.8483915,3,125.576646
6.816539,3,125.576925
-9.591344,3,125.577274
222.5343,101,125.602188
209.52832,101,125.602579
365.4626,101,125.602856
58.305473,101,125.603141
-1368.8881,101,125.603474
103.85158,66,125.711396
237.8392,66,125.711807
102.78589,66,125.712087
123.64491,66,125.712318
-230.4629,66,125.71253
358.53494,150,125.737114
464.12982,150,125.737612
291.01648,150,125.737935
265.06302,150,125.738245
-2648.8315,150,125.738556
48.611404,14,125.754151
15.903447,14,125.754563
12.863424,14,125.754827
13.197911,14,125.755036
99.800644,14,125.75523
94.66318,5,125.780678
5.212637,5,125.781108
13.236702,5,125.781361
10.609007,5,125.781559
-6.6290846,5,125.78175
-29.4033,74,125.846754
174.33794,74,125.847193
217.75424,74,125.847558
188.17766,74,125.847987
-1018.86304,74,125.848259
40.4919,20,125.879508
31.285595,20,125.879974
107.90329,20,125.880348
-15.866141,20,125.880615
76.10469,20,125.880903
2.3126593,4,125.908714
8.148333,4,125.909107
9.745306,4,125.909378
107.843185,4,125.909637
-17.10337,4,125.909856
25.842947,18,126.040243
44.82018,18,126.040747
31.179346,18,126.041321
139.74219,18,126.041706
-202.72636,18,126.042149
37.620934,6,126.122068
10.684947,6,126.122452
29.402742,6,126.122845
14.360555,6,126.123253
143.94789,6,126.123513
180.00064,63,126.139519
119.12525,63,126.139852
316.2795,63,126.140153
-15.03159,63,126.140495
-1284.7307,63,126.140794
93.573746,4,126.198032
72.76735,4,126.198404
62.833168,4,126.198701
42.319942,4,126.198931
17.357052,4,126.19913
-27.45562,33,126.214463
38.969265,33,126.21483
48.825768,33,126.215053
63.26549,33,126.215256
120.0676,33,126.215451
-2.2359986,10,126.34029
12.9866085,10,126.340744
71.77417,10,126.341069
42.3501,10,126.341308
146.45395,10,126.341568
54.373886,43,144.059194
48.6198,43,144.059703
160.86932,43,144.060115
-2.0164762,43,144.060413
-1135.0103,43,144.060776
111.76889,81,144.088142
123.39026,81,144.088685
186.99644,81,144.089148
148.65294,81,144.089407
-1154.8479,81,144.08978
3.3558736,3,144.10332
2.316874,3,144.103946
100.016174,3,144.104335
-2.26282,3,144.104811
-4.6173863,3,144.105556
-9.195724,17,144.173098
111.52951,17,144.173576
19.447819,17,144.173986
34.22677,17,144.174489
-103.656136,17,144.175065
15.137661,10,144.224857
14.074435,10,144.22543
21.478924,10,144.225843
23.005838,10,144.226261
162.92291,10,144.226634
10.072687,7,144.262732
92.70593,7,144.263175
5.361723,7,144.263492
8.9106655,7,144.263813
33.680786,7,144.264046
17.365034,12,144.371078
125.72476,12,144.371569
26.375504,12,144.371921
24.159157,12,144.3722
-17.122433,12,144.372466
10.616788,6,144.447587
10.758521,6,144.448047
107.99139,6,144.448373
7.5562477,6,144.448731
-1.1082845,6,144.449069
-35.358807,83,144.609157
242.02536,83,144.60964
168.65863,83,144.609983
292.41583,83,144.610254
-781.7421,83,144.610561
162.0948,97,144.662694
253.50706,97,144.663172
300.4347,97,144.663557
188.81004,97,144.663895
-1646.5931,97,144.664245
101.71078,68,144.691024
167.00003,68,144.69151
118.31579,68,144.691904
-46.630253,68,144.692326
-214.29521,68,144.692678
76.60995,47,144.722137
118.98452,47,144.722618
124.91573,47,144.723094
-12.399073,47,144.723489
66.361725,47,144.723871
0.23676342,10,144.754345
13.838581,10,144.754965
16.835169,10,144.755326
115.00241,10,144.75568
-201.5935,10,144.75611
-0.9479039,2,144.789841
96.37401,2,144.790317
5.7548084,2,144.790889
5.2331944,2,144.79131
-2.7952049,2,144.791709
32.10505,27,144.836548
126.841965,27,144.837048
31.501472,27,144.837411
45.223656,27,144.837691
-661.8669,27,144.83799
-0.8122884,6,144.878505
9.890184,6,144.879178
8.135792,6,144.879617
81.3102,6,144.879978
-9.660615,6,144.880371
11.835304,7,144.940224
14.008493,7,144.94066
169.89949,7,144.941076
155.96135,7,144.941577
-41.35494,7,144.942138
87.176544,26,145.062806
86.81002,26,145.063344
31.05207,26,145.063719
36.657185,26,145.064045
53.076706,26,145.064355
5.354429,3,145.1116
81.94685,3,145.112027
2.7912111,3,145.112349
3.0330217,3,145.112605
5.973621,3,145.112892
461.34863,149,145.129083
379.22162,149,145.129438
400.32816,149,145.12984
206.59105,149,145.130224
-568.7539,149,145.130708
50.30751,28,145.131247
59.733894,28,145.131678
217.07007,28,145.132038
-0.9868671,28,145.13232
-611.4094,28,145.132562
9.413443,5,145.183371
119.17327,5,145.18384
8.9044,5,145.184215
8.90658,5,145.184477
-111.129364,5,145.184731
-25.157503,66,145.204125
101.56747,66,145.204587
191.85394,66,145.204931
93.66016,66,145.205188
-1926.9684,66,145.205489
-3.5308306,26,145.55342
49.930088,26,145.553925
49.282917,26,145.554467
